Name,Type,Mana Cost,Power,Toughness,Text
Invoke Justice,Sorcery,{1}{W}{W}{W}{W},,,"Return target permanent card from your graveyard to the battlefield, then distribute four +1/+1 counters among any number of creatures and/or Vehicles target player controls."
"Light-Paws, Emperor's Voice",Legendary Creature — Fox Advisor,{1}{W},2,2,"Whenever an Aura enters the battlefield under your control, if you cast it, you may search your library for an Aura card with mana value less than or equal to that Aura and with a different name than each Aura you control, put that card onto the battlefield attached to Light-Paws, Emperor's Voice, then shuffle."
Lion Sash,Artifact Creature — Equipment Cat,{1}{W},1,1,"{W}: Exile target card from a graveyard. If it was a permanent card, put a +1/+1 counter on Lion Sash.
Equipped creature gets +1/+1 for each +1/+1 counter on Lion Sash.
Reconfigure {2} ({2}: Attach to target creature you control; or unattach from a creature. Reconfigure only as a sorcery. While attached, this isn't a creature.)"
March of Otherworldly Light,Instant,{X}{W},,,"As an additional cost to cast this spell, you may exile any number of white cards from your hand. This spell costs {2} less to cast for each card exiled this way.
Exile target artifact, creature, or enchantment with mana value X or less."
Invoke the Winds,Sorcery,{1}{U}{U}{U}{U},,,Gain control of target artifact or creature. Untap it.
"Jin-Gitaxias, Progress Tyrant",Legendary Creature — Phyrexian Praetor,{5}{U}{U},5,5,"Whenever you cast an artifact, instant, or sorcery spell, copy that spell. You may choose new targets for the copy. This ability triggers only once each turn. (A copy of a permanent spell becomes a token.)
Whenever an opponent casts an artifact, instant, or sorcery spell, counter that spell. This ability triggers only once each turn."
March of Swirling Mist,Instant,{X}{U},,,"As an additional cost to cast this spell, you may exile any number of blue cards from your hand. This spell costs {2} less to cast for each card exiled this way.
Up to X target creatures phase out. (While they're phased out, they're treated as though they don't exist. Each one phases in before its controller untaps during their next untap step.)"
Mindlink Mech,Artifact — Vehicle,{2}{U},4,3,"Flying
Whenever Mindlink Mech becomes crewed for the first time each turn, until end of turn, Mindlink Mech becomes a copy of target nonlegendary creature that crewed it this turn, except it's 4/3, it's a Vehicle artifact in addition to its other types, and it has flying.
Crew 1"
The Reality Chip,Legendary Artifact Creature — Equipment Jellyfish,{1}{U},0,4,"You may look at the top card of your library any time.
As long as The Reality Chip is attached to a creature, you may play lands and cast spells from the top of your library.
Reconfigure {2}{U} ({2}{U}: Attach to target creature you control; or unattach from a creature. Reconfigure only as a sorcery. While attached, this isn't a creature.)"
"Tameshi, Reality Architect",Legendary Creature — Moonfolk Wizard,{2}{U},2,3,"Whenever one or more noncreature permanents are returned to hand, draw a card. This ability triggers only once each turn.
{X}{W}, Return a land you control to its owner's hand: Return target artifact or enchantment card with mana value X or less from your graveyard to the battlefield. Activate only as a sorcery."
"Tezzeret, Betrayer of Flesh",Legendary Planeswalker — Tezzeret,{2}{U}{U},,,"The first activated ability of an artifact you activate each turn costs {2} less to activate.
[+1]: Draw two cards. Then discard two cards unless you discard an artifact card.
[−2]: Target artifact becomes an artifact creature. If it isn't a Vehicle, it has base power and toughness 4/4.
[−6]: You get an emblem with ""Whenever an artifact you control becomes tapped, draw a card."""
Blade of the Oni,Artifact Creature — Equipment Demon,{1}{B},3,1,"Menace
Equipped creature has base power and toughness 5/5, has menace, and is a black Demon in addition to its other colors and types.
Reconfigure {2}{B}{B} ({2}{B}{B}: Attach to target creature you control; or unattach from a creature. Reconfigure only as a sorcery. While attached, this isn't a creature.)"
"Hidetsugu, Devouring Chaos",Legendary Creature — Ogre Demon,{3}{B},4,4,"{B}, Sacrifice a creature: Scry 2.
{2}{R}, {T}: Exile the top card of your library. You may play that card this turn. When you exile a nonland card this way, Hidetsugu, Devouring Chaos deals damage equal to the exiled card's mana value to any target."
Invoke Despair,Sorcery,{1}{B}{B}{B}{B},,,"Target opponent sacrifices a creature. If they can't, they lose 2 life and you draw a card. Then repeat this process for an enchantment and a planeswalker."
March of Wretched Sorrow,Instant,{X}{B},,,"As an additional cost to cast this spell, you may exile any number of black cards from your hand. This spell costs {2} less to cast for each card exiled this way.
March of Wretched Sorrow deals X damage to target creature or planeswalker and you gain X life."
Mukotai Soulripper,Artifact — Vehicle,{1}{B},4,3,"Whenever Mukotai Soulripper attacks, you may sacrifice another artifact or creature. If you do, put a +1/+1 counter on Mukotai Soulripper and it gains menace until end of turn.
Crew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)"
Soul Transfer,Sorcery,{1}{B}{B},,,"Choose one. If you control an artifact and an enchantment as you cast this spell, you may choose both.
• Exile target creature or planeswalker.
• Return target creature or planeswalker card from your graveyard to your hand."
Explosive Singularity,Sorcery,{8}{R}{R},,,"As an additional cost to cast this spell, you may tap any number of untapped creatures you control. This spell costs {1} less to cast for each creature tapped this way.
Explosive Singularity deals 10 damage to any target."
Invoke Calamity,Instant,{1}{R}{R}{R}{R},,,"You may cast up to two instant and/or sorcery spells with total mana value 6 or less from your graveyard and/or hand without paying their mana costs. If those spells would be put into your graveyard, exile them instead. Exile Invoke Calamity."
Lizard Blades,Artifact Creature — Equipment Lizard,{1}{R},1,1,"Double strike
Equipped creature has double strike.
Reconfigure {2} ({2}: Attach to target creature you control; or unattach from a creature. Reconfigure only as a sorcery. While attached, this isn't a creature.)"
March of Reckless Joy,Instant,{X}{R},,,"As an additional cost to cast this spell, you may exile any number of red cards from your hand. This spell costs {2} less to cast for each card exiled this way.
Exile the top X cards of your library. You may play up to two of those cards until the end of your next turn."
Ogre-Head Helm,Artifact Creature — Equipment Ogre,{1}{R},2,2,"Equipped creature gets +2/+2.
Whenever Ogre-Head Helm or equipped creature deals combat damage to a player, you may sacrifice it. If you do, discard your hand, then draw three cards.
Reconfigure {3} ({3}: Attach to target creature you control; or unattach from a creature. Reconfigure only as a sorcery. While attached, this isn't a creature.)"
Scrap Welder,Creature — Goblin Artificer,{2}{R},3,3,"{T}, Sacrifice an artifact with mana value X: Return target artifact card with mana value less than X from your graveyard to the battlefield. It gains haste until end of turn."
Thundering Raiju,Creature — Spirit,{2}{R}{R},3,3,"Haste
Whenever Thundering Raiju attacks, put a +1/+1 counter on target creature you control. Then Thundering Raiju deals X damage to each opponent, where X is the number of modified creatures you control other than Thundering Raiju. (Equipment, Auras you control, and counters are modifications.)"
Invoke the Ancients,Sorcery,{1}{G}{G}{G}{G},,,"Create two 4/5 green Spirit creature tokens. For each of them, put your choice of a vigilance counter, a reach counter, or a trample counter on it."
Kami of Transience,Creature — Spirit,{1}{G},2,2,"Trample
Whenever you cast an enchantment spell, put a +1/+1 counter on Kami of Transience.
At the beginning of each end step, if an enchantment was put into your graveyard from the battlefield this turn, you may return Kami of Transience from your graveyard to your hand."
Kodama of the West Tree,Legendary Creature — Spirit,{2}{G},3,3,"Reach
Modified creatures you control have trample. (Equipment, Auras you control, and counters are modifications.)
Whenever a modified creature you control deals combat damage to a player, search your library for a basic land card, put it onto the battlefield tapped, then shuffle."
March of Burgeoning Life,Instant,{X}{G},,,"As an additional cost to cast this spell, you may exile any number of green cards from your hand. This spell costs {2} less to cast for each card exiled this way.
Choose target creature with mana value less than X. Search your library for a creature card with the same name as that creature, put it onto the battlefield tapped, then shuffle."
"Shigeki, Jukai Visionary",Legendary Enchantment Creature — Snake Druid,{1}{G},1,3,"{1}{G}, {T}, Return Shigeki, Jukai Visionary to its owner's hand: Reveal the top four cards of your library. You may put a land card from among them onto the battlefield tapped. Put the rest into your graveyard.
Channel — {X}{X}{G}{G}, Discard Shigeki: Return X target nonlegendary cards from your graveyard to your hand."
Weaver of Harmony,Enchantment Creature — Snake Druid,{1}{G},2,2,"Other enchantment creatures you control get +1/+1.
{G}, {T}: Copy target activated or triggered ability you control from an enchantment source. You may choose new targets for the copy. (Mana abilities can't be targeted.)"
Eiganjo Uprising,Sorcery,{X}{R}{W},,,"Create X 2/2 white Samurai creature tokens with vigilance. They gain menace and haste until end of turn.
Each opponent creates X minus one 2/2 white Samurai creature tokens with vigilance."
"Greasefang, Okiba Boss",Legendary Creature — Rat Pilot,{1}{W}{B},4,3,"At the beginning of combat on your turn, return target Vehicle card from your graveyard to the battlefield. It gains haste. Return it to its owner's hand at the beginning of your next end step."
"Hinata, Dawn-Crowned",Legendary Creature — Kirin Spirit,{1}{U}{R}{W},4,4,"Flying, trample
Spells you cast cost {1} less to cast for each target.
Spells your opponents cast cost {1} more to cast for each target."
"Satsuki, the Living Lore",Legendary Creature — Human Druid,{G}{W},1,3,"{T}: Put a lore counter on each Saga you control. Activate only as a sorcery.
When Satsuki, the Living Lore dies, choose up to one —
• Return target Saga or enchantment creature you control to its owner's hand.
• Return target Saga card from your graveyard to your hand."
Spirit-Sister's Call,Enchantment,{3}{W}{B},,,"At the beginning of your end step, choose target permanent card in your graveyard. You may sacrifice a permanent that shares a card type with the chosen card. If you do, return the chosen card from your graveyard to the battlefield and it gains ""If this permanent would leave the battlefield, exile it instead of putting it anywhere else."""
Eater of Virtue,Legendary Artifact — Equipment,{1},,,"Whenever equipped creature dies, exile it.
Equipped creature gets +2/+0.
As long as a card exiled with Eater of Virtue has flying, equipped creature has flying. The same is true for first strike, double strike, deathtouch, haste, hexproof, indestructible, lifelink, menace, protection, reach, trample, and vigilance.
Equip {1}"
Mechtitan Core,Artifact — Vehicle,{2},2,4,"{5}, Exile Mechtitan Core and four other artifact creatures and/or Vehicles you control: Create Mechtitan, a legendary 10/10 Construct artifact creature token with flying, vigilance, trample, lifelink, and haste that's all colors. When that token leaves the battlefield, return all cards exiled with Mechtitan Core except Mechtitan Core to the battlefield tapped under their owners' control.
Crew 2"
